Gemeente,CBS,Veiligheidsregio's,Inwoneraantal van regio
Aa en Hunze,1680,Drenthe,488611
Aalsmeer,358,Amsterdam-Amstelland,1008808
Aalten,197,Noord- en Oost-Gelderland,812224
Achtkarspelen,59,Fryslân,646324
Alblasserdam,482,Zuid-Holland-Zuid,367350
Albrandswaard,613,Rotterdam-Rijnmond,1279414
Alkmaar,361,Noord-Holland-Noord,646991
Almelo,141,Twente,626009
Almere,34,Flevoland,401503
Alphen aan den Rijn,484,Hollands-Midden,774476
Alphen-Chaam,1723,Midden- en West-Brabant,1091129
Altena,1959,Midden- en West-Brabant,1091129
Ameland,60,Fryslân,646324
Amersfoort,307,Utrecht,1263509
Amstelveen,362,Amsterdam-Amstelland,1008808
Amsterdam,363,Amsterdam-Amstelland,1008808
Apeldoorn,200,Noord- en Oost-Gelderland,812224
Appingedam,3,Groningen,584104
Arnhem,202,Gelderland-Midden,670924
Assen,106,Drenthe,488611
Asten,743,Brabant-Zuidoost,752485
Baarle-Nassau,744,Midden- en West-Brabant,1091129
Baarn,308,Utrecht,1263509
Barendrecht,489,Rotterdam-Rijnmond,1279414
Barneveld,203,Gelderland-Midden,670924
Beek,888,Limburg-Zuid,602040
Beekdaelen,1954,Limburg-Zuid,602040
Beemster,370,Zaanstreek-Waterland,328233
Beesel,889,Limburg-Noord,516014
Berg en Dal,1945,Gelderland-Zuid,543245
Bergeijk,1724,Brabant-Zuidoost,752485
Bergen (L),893,Limburg-Noord,516014
Bergen (NH),373,Noord-Holland-Noord,646991
Bergen op Zoom,748,Midden- en West-Brabant,1091129
Berkelland,1859,Noord- en Oost-Gelderland,812224
Bernheze,1721,Brabant-Noord,645711
Best,753,Brabant-Zuidoost,752485
Beuningen,209,Gelderland-Zuid,543245
Beverwijk,375,Kennemerland,531591
Bladel,1728,Brabant-Zuidoost,752485
Blaricum,376,Gooi en Vechtstreek,246540
Bloemendaal,377,Kennemerland,531591
Bodegraven-Reeuwijk,1901,Hollands-Midden,774476
Boekel,755,Brabant-Noord,645711
Borger-Odoorn,1681,Drenthe,488611
Borne,147,Twente,626009
Borsele,654,Zeeland,380717
Boxmeer,756,Brabant-Noord,645711
Boxtel,757,Brabant-Noord,645711
Breda,758,Midden- en West-Brabant,1091129
Brielle,501,Rotterdam-Rijnmond,1279414
Bronckhorst,1876,Noord- en Oost-Gelderland,812224
